idade,genero,existe_alguma_rua_em_fortaleza_em_que_voce_gostaria_de_ver_uma_ciclovia,voce_gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,voce_tem_alguma_sugestao_para_melhorar_a_qualidade_e_o_conforto_ao_andar_de_bicicleta_em_fortaleza_agrupado
58,Masculino,Tupamirim/Teixe,"Sim, por uma moto",,Praticidade e conveniência;Custo \ É mais barato;Mais fácil,Desrespeito dos motoristas ou Trânsito,Outros
,Feminino,Cilas Mungu,Não,"Sim, medo de acidente",Exercício e saúde,"Falta de ciclovias, Má qualidade das ciclovias",Expansão das ciclovias
52,Masculino,Eurolândia,"Sim, por uma moto",,Única opção,Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia,Outros
49,Masculino,Onde eu ando tem ciclovia,Não,,Rapidez \ Tempo,,Outros
45,Masculino,Todas já têm,Não,,Preferência pessoal,"Buracos na ciclovia, Má qualidade das ciclovias",Melhora de qualidade das ciclovias
9,Feminino,Não,Não,,Preferência pessoal,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Conscietização dos motoristas
43,Masculino,"Nenhuma, as ruas que conheço já têm",Não,,Exercício e saúde,Lixo na ciclovia; Invasão de carros ou motos na ciclovia,Melhoria da fiscalização
48,Masculino,As ruas dos bairros (grandes meias),"Sim, por uma moto",,Custo \ É mais barato;Mais fácil,Desrespeito dos motoristas ou Trânsito,Outros
38,Masculino,Raul Barbosa,Não,,Praticidade e conveniência;Segurança no trânsito;Exercício e saúde,Desrespeito dos motoristas ou Trânsito,Expansão das ciclovias
35,Masculino,Ruan Lagas,"Sim, por uma moto",,Exercício e saúde;Custo \ É mais barato,Buracos na ciclovia; Lixo na ciclovia,Melhora de qualidade das ciclovias; Limpeza das ciclovias
,Masculino,Onde passa já tem,Não,,Praticidade e conveniência,Desrespeito dos motoristas ou Trânsito,Conscietização dos motoristas; Melhoria da fiscalização
40,Masculino,Passaré,"Sim, por uma moto",,Única opção,Calor ou clima,Outros
39,Masculino,Rua Mauro Filho,Não,,Praticidade e conveniência;Preferência pessoal,,Expansão das ciclovias
37,Masculino,"Aquela do Mudubim, Perimetral",Não,"Sim, medo de acidente",Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência,Desrespeito dos motoristas ou Trânsito,Outros
38,Feminino,Em todo canto,Não,,Praticidade e conveniência;Segurança no trânsito,Lixo na ciclovia,Limpeza das ciclovias
61,Masculino,Pelimetral,Não,,Rapidez \ Tempo,Desrespeito dos motoristas ou Trânsito; Sinalização inadequada,Outros
,Masculino,,Não,,Exercício e saúde;Rapidez \ Tempo;Preferência pessoal,Lixo na ciclovia,Limpeza das ciclovias
51,Masculino,Nenhuma,Não,,Exercício e saúde;Preferência pessoal,"Desrespeito dos motoristas ou Trânsito, Machismo e desrespeito",Conscietização dos motoristas
50,Masculino,Perimetral,"Sim, mas não especifica qual meio","Sim, medo de acidente",Praticidade e conveniência;Segurança no trânsito;Custo \ É mais barato,Desrespeito dos motoristas ou Trânsito,Outros
39,Feminino,Perimental,Não,,Rapidez \ Tempo;Custo \ É mais barato,"Má qualidade das ciclovias, Lixo na ciclovia",Outros
36,Masculino,Perimetral,"Sim, por uma moto",,Única opção,Desrespeito dos motoristas ou Trânsito,Conscietização dos motoristas
16,Masculino,"Berth Magnum, rua Equador, Silas Munguba","Sim, mas não especifica qual meio",,Exercício e saúde,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,Expansão das ciclovias
46,Masculino,Ciclovia é necessidade em toda cidade,Não,,Exercício e saúde;Praticidade e conveniência;Segurança no trânsito,Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia,Conscietização dos motoristas
36,Masculino,"Rua Chile, na Bela Vista","Sim, por um carro",,Rapidez \ Tempo,Lixo na ciclovia; Outros obstáculos na ciclovia,Outros
23,Masculino,Trecho de via antes do aeroporto sem faixa de ciclista,"Sim, por um carro",,Custo \ É mais barato;Praticidade e conveniência;Segurança no trânsito,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Melhoria da fiscalização
51,Masculino,Não especificado,Não,,Rapidez \ Tempo;Praticidade e conveniência,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Conscietização dos motoristas
28,Masculino,Avenida Perimentral,"Sim, por uma moto",,Única opção,Lixo na ciclovia,Limpeza das ciclovias
25,Masculino,Nenhuma,Não,,Praticidade e conveniência;Mais fácil,"Desrespeito dos motoristas ou Trânsito, Lixo na ciclovia, Outros obstáculos na ciclovia",Outros
32,Masculino,Trecho da Perimetral que leva para Juscelino,Não,,Custo \ É mais barato;Exercício e saúde,Lixo na ciclovia,Outros
38,Masculino,"Perimetral, sentido vecejano/messejano, de lado da lata",Não,,Rapidez \ Tempo;Praticidade e conveniência;Mais fácil,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Outros
46,Masculino,Avenida Principal,Não,,Praticidade e conveniência,Desrespeito dos motoristas ou Trânsito; Lixo na ciclovia,Limpeza das ciclovias
40,Masculino,Não especificado,Não,,Rapidez \ Tempo,,Melhoria da fiscalização
71,Masculino,"Não lembrado, já tem ciclovia.",Não,,Preferência pessoal,Desrespeito dos motoristas ou Trânsito,Melhoria da fiscalização
37,Masculino,"Não, não lembro de nenhuma.","Sim, por uma moto",,Custo \ É mais barato;Única opção,Desrespeito dos motoristas ou Trânsito,Outros
55,Masculino,Não lembro de nenhuma.,"Sim, por uma moto ou por um carro.",,Mais fácil;Preferência pessoal,Desrespeito dos motoristas ou Trânsito,Outros
33,Masculino,Não especificado.,"Sim, por uma moto",,Rapidez \ Tempo;Praticidade e conveniência,Outros obstáculos na ciclovia,Outros
49,Feminino,Já tem ciclovia.,Não,,Exercício e saúde,Desrespeito dos motoristas ou Trânsito,Outros
45,Masculino,Não lembro de nenhuma.,Não,,Exercício e saúde,Lixo na ciclovia,Outros
10,Masculino,"Rua 12 de 100, Parque Cidade de Irmão.","Sim, por uma moto",,Preferência pessoal,Outros obstáculos na ciclovia,Outros
188,Masculino,A Perimetral e Rua Paraíso.,"Sim, por uma bicicleta melhor",,Preferência pessoal,Falta de ciclovias,Limpeza das ciclovias; Conscietização dos motoristas
14,Masculino,"Guerra do Manauco, sentido aeroporto.",Não,,Preferência pessoal,Desrespeito dos motoristas ou Trânsito; Lixo na ciclovia,Conscietização dos motoristas
24,Masculino,Não especificado.,Não,,Rapidez \ Tempo,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,Melhora de qualidade das ciclovias; Limpeza das ciclovias
43,Feminino,"Não, já tem ciclovia.",Não,Não,Praticidade e conveniência;Custo \ É mais barato;Mais fácil,"Desrespeito dos motoristas ou Trânsito, Machismo e desrespeito, Outros obstáculos na ciclovia",Outros
24,Masculino,Júlio Braga.,Não,,Exercício e saúde;Praticidade e conveniência;Segurança no trânsito,Desrespeito dos motoristas ou Trânsito; Má qualidade das ciclovias,Outros
